POI,CSA,Optus CVC,NBN CVC,OON,ORD VNNI,ORD CVC,NNI Link ID,V-NNI ID,V Link Circuit ID,S-TAG Ranges,Bandwidth (Mbps)
"4KLG - PETRIE, QLD",CSA400000000440,CVC000000600162,CVC000000714169,,,ORD010052359071,NNL000000035616,NNI000000453345,VLK00000111,31-50,200
"4TNS - TOWNSVILLE, QLD",CSA400000010875,CVC000000629379,CVC000000752067,2183817,ORD010103297164,ORD010113447228,NNL000000050154,NNI000000487287,VLK00000314,51-70,300
"4IPS - IPSWICH, QLD",CSA400000010428,CVC000000602177,CVC000000753063,2183832,ORD010103297345,ORD010113905119,NNL000000050226,NNI000000487294,VLK00000315,71-90,300
"4TOB - TOOWOOMBA, QLD",CSA400000010873,CVC000000599847,CVC000000754567,2183835,ORD010103297402,ORD010115808383,NNL000000050235,NNI000000487304,VLK00000316,51-70,300
"4ROT - ROCKHAMPTON, QLD",CSA400000000753,CVC000000601100,CVC000000753085,2207155,ORD010104600483,ORD010113905732,NNL000000058349,NNI000000488397,VLK00000452,71-90,500
"4GDN - GOODNA, QLD",CSA400000010359,CVC000000599997,CVC000000753092,2207158,ORD010104597235,ORD010113905967,NNL000000057915,NNI000000488313,VLK00000453,91-110,300
"4WOB - WOOLLOONGABBA, QLD",CSA400000010948,CVC000000602108,CVC000000753102,2207183,ORD010104597532,ORD010113906063,NNL000000058019,NNI000000488321,VLK00000454,51-70,300
"Ashmore CSA aka 4NER - NERANG, QLD",CSA400000000027,CVC000000601090,CVC000000753118,2217777,ORD010111231561,ORD010113906224 ,NNL000000061094,NNI000000491748,VLK00000567,91-110,300
"4CPH - CAMP HILL, QLD",CSA400000000149,CVC000000600968,CVC000000753125,2208181,ORD010105707726,ORD010113907508,NNL000000058515,NNI000000489484,VLK00000457,51-70,400
"4BNA - ACACIA RIDGE DEPOT, QLD",CSA400000001056,CVC000000600104,CVC000000753139,2208183,ORD010105707939,ORD010113907937,NNL000000058618,NNI000000489497,VLK00000474,91-110,400
"4SLA - SLACKS CREEK, QLD",CSA400000010800,CVC000000603461,CVC000000753141,2208185,ORD010104600859,ORD010113908070,NNL000000058377,NNI000000488402,VLK00000458,51-70,300
"4BBE - BUNDABERG, QLD",CSA400000000133,CVC000000629380,CVC000000753156,2208186,ORD010104596443,ORD010113908299,NNL000000057818,NNI000000488309,VLK00000461,71-90,500
"4MRA - MERRIMAC, QLD",CSA400000000558,CVC000000601214,CVC000000753160,2216765,ORD010111236789,ORD010113908441,NNL000000061143,NNI000000491795,VLK00000531,91-110,200
"Ningi CSA aka 4CAB - CABOOLTURE, QLD",CSA400000001009,CVC000000601088,CVC000000753173,2217779,ORD010111237171,ORD010113908603,NNL000000060967,NNI000000491846,VLK00000568,91-110,200
"4APL - ASPLEY, QLD",CSA400000010028,CVC000000600060,CVC000000753187,2216767,ORD010111250722,ORD010113909030,NNL000000061209,NNI000000491920,VLK00000558,71-90,200
"4CAI - CAIRNS, QLD",CSA400000000144,CVC000000600143,CVC000000753194,2216770,ORD010111236942,ORD010113909263,NNL000000060848,NNI000000491814,VLK00000520,71-90,200
"4NBR - NAMBOUR, QLD",CSA400000010627,CVC000000600232,CVC000000753207,2216772,ORD010111237035,ORD010113909413,NNL000000060882,NNI000000491822,VLK00000521,51-70,300
"4BDB - BUNDAMBA, QLD",CSA400000010134,CVC000000601159,CVC000000753211,2216774,ORD010111237159,ORD010113909829,NNL000000060922,NNI000000491833,VLK00000522,71-90,300
"4MKY - MACKAY, QLD",CSA400000010520,CVC000000600746,CVC000000753224,2216776,ORD010111228618,ORD010113909961,NNL000000061025,NNI000000491711,VLK00000523,71-90,300
"4EMP - EIGHT MILE, QLD",CSA400000000297,CVC000000601976,CVC000000753230,2216777,ORD010111232423,ORD010113910170,NNL000000061060,NNI000000491776,VLK00000532,71-90,200
"4SOP - SOUTHPORT, QLD",CSA400000000815,CVC000000601775,CVC000000753248,2216779,ORD010111236903,ORD010113910213,NNL000000061115,NNI000000491805,VLK00000533,91-110,300
"4BNB - ASPLEY DEPOT, QLD",CSA400000001057,CVC000000602131,CVC000000753253,2216781,ORD010111232679,ORD010113910437,NNL000000061041,NNI000000491782,VLK00000524,51-70,300
"6APP - APPLECROSS, WA",CSA600000000017,CVC000000600041,CVC000000750896,2208153,ORD010104598016,ORD010111247380,NNL000000058144,NNI000000488345,VLK00000466,51-70,200
"6SUB - SUBIACO, WA",CSA600000000833,CVC000000600369,CVC000000750906,2208172,ORD020245841908,ORD010111247555,NNL000000058813,NNI000000489893,VLK00000473,71-90,200
"6PNJ - PINJARRA, WA",CSA600000000699,CVC000000601222,CVC000000750910,2208173,ORD020245841912,ORD010111247627,NNL000000058911,NNI000000489903,VLK00000472,111-130,200
"6DBL - DOUBLEVIEW, WA",CSA600000000279,CVC000000600655,CVC000000751486,2208175,ORD010104597815,ORD010112484558,NNL000000058137,NNI000000488332,VLK00000465,51-70,200
"6MLO - MULLALOO, WA",CSA600000000613,CVC000000600158,CVC000000751464,2214922,ORD010110935857,ORD010112475280,NNL000000059816,NNI000000491275,VLK00000514,51-70,200
"6PEB - BENTLEY DEPOT, WA",CSA600000001061,CVC000000601897,CVC000000751694,2214923,ORD010110934507,ORD010112671367,NNL000000059828,NNI000000491206,VLK00000516,71-90,200
"6CAN - CANNINGTON, WA",CSA600000000155,CVC000000751493,CVC000000751493,2214925,ORD010110954256,ORD010112484845,NNL000000059892,NNI000000491321,VLK00000517,71-90,200
"6KEL - KELMSCOTT, WA",CSA600000010455,CVC000000751504,CVC000000751504,2214926,ORD010110965661,ORD010112485143,NNL000000060064,NNI000000491345,VLK00000510,71-90,200
"6BSD - BASSENDEAN, WA",CSA600000000052,CVC000000599810,CVC000000751515,2214927,ORD010110954389,ORD010112485297,NNL000000059925,NNI000000491332,VLK00000507,51-70,200
"6HIL - HILTON, WA",CSA600000000405,CVC000000599777,CVC000000751527,2214928,ORD010110943091,ORD010112494405,NNL000000059863,NNI000000491299,VLK00000508,51-70,200
"6KAT - KATANNING, WA",CSA600000000448,CVC000000600705,CVC000000751706,2214929,ORD010110965833,ORD010112671488,NNL000000060072,NNI000000491378,VLK00000509,71-90,200
"6GLT - GERALDTON, WA",CSA600000000343,CVC000000601884,CVC000000751536,2214930,ORD010110965822,ORD010112494480,NNL000000060415,NNI000000491366,VLK00000515,51-70,200
"6PEA - WANGARA DEPOT, WA",CSA600000001060,CVC000000600617,CVC000000751543,2214932,ORD010110934970,ORD010112494582,NNL000000059837,NNI000000491252,VLK00000511,51-70,200
"6CGE - SOUTH COOGEE, WA",CSA600000000808,CVC000000600039,CVC000000751562,2214933,ORD010110965782,ORD010112655379,NNL000000060119,NNI000000491350,VLK00000512,71-90,200
"2CFS - COFFS HARBOUR, NSW",CSA200000010199,CVC000000599966,CVC000000750877,2208159,ORD010104596029,ORD010111245991,NNL000000057511,NNI000000488281,VLK00000455,91-110,700
"2NWR - NOWRA-BOMADERRY, NSW",CSA200000010662,CVC000000600136,CVC000000752448,2208166,ORD010104601513,ORD010113702154,NNL000000058365,NNI000000488425,VLK00000456,71-90,700
"2EDG - EDGECLIFF, NSW",CSA200000000295,CVC000000601061,CVC000000752453,2208167,ORD010104599467,ORD010113702257,NNL000000058312,NNI000000488366,VLK00000459,91-110,700
"2CAS - CASTLE HILL, NSW",CSA200000010167,CVC000000599868,CVC000000752469,2208168,ORD010104596188,ORD010113702699,NNL000000057716,NNI000000488299,VLK00000460,71-90,700
"2MIR - MIRANDA, NSW",CSA200000000567,CVC000000601233,CVC000000752476,2216801,ORD010111232032,ORD010113702836,NNL000000061073,NNI000000491769,VLK00000525,91-110,200
"2GBE - GLEBE, NSW",CSA200000000348,CVC000000603538,CVC000000752482,2216803,ORD010111231849,ORD010113702929,NNL000000061104,NNI000000491753,VLK00000526,51-70,200
"2TAM - TAMWORTH, NSW",CSA200000010850,CVC000000629367,CVC000000752509,2216804,ORD010111228558,ORD010113708256,NNL000000060980,NNI000000491707,VLK00000527,71-90,200
"2HAM - HAMILTON, NSW",CSA200000010384,CVC000000599754,CVC000000752513,2216806,ORD010111239810,ORD010113709352,NNL000000061018,NNI000000491898,VLK00000528,71-90,200
"2LID - LIDCOMBE, NSW",CSA200000010503,CVC000000600266,CVC000000752521,2216972,ORD010111074198,ORD010113709404,NNL000000060732,NNI000000491592,VLK00000536,91-110,200
"2MAI - MAITLAND, NSW",CSA200000010525,CVC000000600664,CVC000000752545,2216974,ORD010111238771,ORD010113709876,NNL000000061127,NNI000000491867,VLK00000529,91-110,300
"2SYB - EASTERN CREEK DEPOT, NSW",CSA200000011053,CVC000000600376,CVC000000752550,2216977,ORD010111091757,ORD010113710052,NNL000000060713,NNI000000491619,VLK00000534,31-50,300
"2BLV - BERKELEY VALE, NSW",CSA200000000075,CVC000000600115,CVC000000752566,2216978,ORD010111073830,ORD010113710166,NNL000000060778,NNI000000491559,VLK00000535,71-90,200
"2KNS - KENSINGTON, NSW",CSA200000000457,CVC000000600751,CVC000000752578,2216980,ORD010111074024,ORD010113710454,NNL000000060750,NNI000000491571,VLK00000537,71-90,200
Wagga Wagga 2 CSA,CSA200000010896,CVC000000601185,CVC000000752597,2216982,ORD010112864445,ORD010113715001,NNL000000061519,NNI000000492682,VLK00000530,91-110,400
"2GRN - GRAFTON, NSW",CSA200000010366,CVC000000600382,CVC000000752606,2216984,ORD010111073882,ORD010113715208,NNL000000060766,NNI000000491563,VLK00000538,71-90,300
"2CBT - CAMPBELLTOWN, NSW",CSA200000010151,CVC000000599720,CVC000000752610,2216985,ORD010111228365,ORD010113715381,NNL000000060998,NNI000000491690,VLK00000559,51-70,300
"2DBB - DUBBO, NSW",CSA200000010282,CVC000000600127,CVC000000752623,2216987,ORD010112864789,ORD010113716276,NNL000000061189,NNI000000492695,VLK00000542,71-90,400
Penrith 2 CSA,CSA200000010233,CVC000000600896,CVC000000752634,2232890,ORD010113127738,ORD010113716604,NNL000000061812,NNI000000492987,VLK00000579,71-90,300
"2PEA - PEAKHURST, NSW",CSA200000000689,CVC000000602112,CVC000000752647,2216990,ORD010111074216,ORD010113717021,NNL000000060721,NNI000000491603,VLK00000539,71-90,200
"9QBN - QUEANBEYAN, ACT",CSA900000000724,CVC000000599731,CVC000000752652,2216992,ORD010111254393,ORD010113717130,NNL000000060869,NNI000000492010,VLK00000547,71-90,300
"2ALB - ALBURY, NSW",CSA200000000008,CVC000000600250,CVC000000752532,2216994,ORD010111253909,ORD010113709750,NNL000000061158,NNI000000491965,VLK00000544,91-110,200
"Richmond 2 CSA aka 2WIN - WINDSOR, NSW",CSA200000010742,CVC000000603604,CVC000000752584,2217781,ORD010113708842,ORD010113714526,NNL000000061087,NNI000000493306,VLK00000569,91-110,300
"2PEN - PENDLE HILL, NSW",CSA200000010691,CVC000000601493,CVC000000752668,2216996,ORD010111074105,ORD010113718234,NNL000000060745,NNI000000491585,VLK00000540,91-110,200
"9CVI - CIVIC, ACT",CSA900000010247,CVC000000599823,CVC000000752675,2216998,ORD010111255394,ORD010113718571,NNL000000060905,NNI000000492068,VLK00000560,51-70,300
"2NEW - NEWTOWN, NSW",CSA200000000647,CVC000000600459,CVC000000752681,2217000,ORD010111253689,ORD010113718805,NNL000000061170,NNI000000491949,VLK00000545,71-90,200
"2STL - ST LEONARDS, NSW",CSA200000000824,CVC000000599950,CVC000000752699,2217002,ORD010111073685,ORD010113718996,NNL000000060784,NNI000000491544,VLK00000574,71-90,200
"2MYF - MAYFIELD, NSW",CSA200000000549,CVC000000600170,CVC000000752702,2217003,ORD010111238451,ORD010113719421,NNL000000061136,NNI000000491851,VLK00000576,111-130,200
"2WLG - WOLLONGONG, NSW",CSA200000010939,CVC000000600416,CVC000000752718,2217004,ORD010111253783,ORD010113719886,NNL000000061162,NNI000000491954,VLK00000546,71-90,200
"2FRE - FRENCHS FOREST, NSW",CSA200000000332,CVC000000603627,CVC000000752725,2217006,ORD010111254761,ORD010113720001,NNL000000060876,NNI000000492023,VLK00000548,51-70,200
"2CRR - CARRAMAR, NSW",CSA200000000164,CVC000000600640,CVC000000752739,2217008,ORD010111250693,ORD010113720265,NNL000000061213,NNI000000491912,VLK00000549,71-90,200
"2GOS - GOSFORD, NSW",CSA200000000364,CVC000000599749,CVC000000752741,2217010,ORD010111238825,ORD010113720525,NNL000000060811,NNI000000491879,VLK00000550,71-90,200
"2LIV - LIVERPOOL, NSW",CSA200000010508,CVC000000600883,CVC000000752756,2217011,ORD010111254338,ORD010113720713,NNL000000060946,NNI000000492006,VLK00000551,91-110,200
"2DAL - DALLEY, NSW",CSA200000000250,CVC000000600733,CVC000000752760,2217013,ORD010111250561,ORD010113720824,NNL000000060824,NNI000000491908,VLK00000552,71-90,200
"2BLK - BLACKTOWN, NSW",CSA200000010092,CVC000000599921,CVC000000752773,2217014,ORD010111228673,ORD010113721025,NNL000000060979,NNI000000491724,VLK00000555,91-110,200
"2CYS - CITY SOUTH, NSW",CSA200000010186,CVC000000601504,CVC000000752787,2217016,ORD010111254184,ORD010113741872,NNL000000060951,NNI000000491977,VLK00000553,51-70,200
"2MOS - MOSMAN, NSW",CSA200000000596,CVC000000599978,CVC000000752794,2217018,ORD010111255302,ORD010113742194,NNL000000060914,NNI000000492052,VLK00000556,71-90,300
"2LAK - LAKEMBA, NSW",CSA200000000488,CVC000000603269,CVC000000752804,2217019,ORD010111254227,ORD010113742305,NNL000000060830,NNI000000491983,VLK00000557,51-70,200
"2SYA - ASQUITH DEPOT, NSW",CSA200000001052,CVC000000601969,CVC000000752815,2217021,ORD010111255069,ORD010113742490,NNL000000060895,NNI000000492047,VLK00000554,71-90,200
"2ROC - ROCKDALE, NSW",CSA200000000752,CVC000000601866,CVC000000752827,2217022,ORD010111239085,ORD010113742636,NNL000000061056,NNI000000491880,VLK00000566,101-120,200
"2RYD - RYDE, NSW",CSA200000010770,CVC000000599984,CVC000000752836,2217026,ORD010111254291,ORD010113744155,NNL000000060853,NNI000000491996,VLK00000562,71-90,200
"2CAM - CAMPSIE, NSW",CSA200000000153,CVC000000600906,CVC000000752843,2217027,ORD010111229372,ORD010113744281,NNL000000061039,NNI000000491730,VLK00000575,61-80,200
"2CHA - CHATSWOOD, NSW",CSA200000000179,CVC000000602120,CVC000000752858,2217028,ORD010111228279,ORD010113744332,NNL000000061002,NNI000000491688,VLK00000564,71-90,200
"2PAR - PARRAMATTA, NSW",CSA200000000685,CVC000000601907,CVC000000752862,2217030,ORD010111254788,ORD010113744378,NNL000000060933,NNI000000492034,VLK00000565,51-70,200
"5PRO - PROSPECT, SA",CSA500000000721,CVC000000602411,CVC000000751035,2208161,ORD010104599684,ORD010111249395,NNL000000058320,NNI000000488378,VLK00000468,71-90,300
"3HAW - HAWTHORN, VIC",CSA300000000391,CVC000000601995,CVC000000751042,2208163,ORD010104600132,ORD010111249459,NNL000000058331,NNI000000488384,VLK00000469,51-70,200
"3RES - RESERVOIR, VIC",CSA300000000738,CVC000000601982,CVC000000751057,2208165,ORD010104601131,ORD010111249503,NNL000000058354,NNI000000488418,VLK00000470,71-90,200
"5STI - STIRLING, SA",CSA500000010831,CVC000000599932,CVC000000751061,2208169,ORD010104599031,ORD010111249664,NNL000000058159,NNI000000488350,VLK00000467,71-90,200
"5PTA - PORT AUGUSTA, SA",CSA500000010706,CVC000000601171,CVC000000751472,2214858,ORD010110975458,ORD010112479520,NNL000000060055,NNI000000491500,VLK00000475,91-110,200
"3BEN - BENDIGO, VIC",CSA300000010073,CVC000000600428,CVC000000751570,2214859,ORD010110945546,ORD010112655538,NNL000000059871,NNI000000491309,VLK00000479,91-110,300
Traralgon 2 CSA,CSA300000010878,CVC000000599796,CVC000000754505,2214860,ORD010115694431,ORD010115695180,NNL000000062481,NNI000000494683,VLK00000476,71-90,200
"5CPK - ST MARYS, SA",CSA500000000825,CVC000000599765,CVC000000751589,2214861,ORD010108408126,ORD010112655586,NNL000000059412,NNI000000490570,VLK00000477,71-90,300
"3EXH - EXHIBITION, VIC",CSA300000010316,CVC000000599806,CVC000000751591,2214863,ORD010110066708,ORD010112655868,NNL000000059611,NNI000000490884,VLK00000478,51-70,500
"3WHL - WHEELERS HILL, VIC",CSA300000010928,CVC000000599881,CVC000000751602,2214865,ORD020246195911,ORD010112655909,NNL000000059522,NNI000000490589,VLK00000480,51-70,300
"3WER - WERRIBEE, VIC",CSA300000010923,CVC000000600018,CVC000000751618,2214868,ORD010110975306,ORD010112655997,NNL000000060040,NNI000000491494,VLK00000484,91-110,300
"3FSR - FOOTSCRAY, VIC",CSA300000000325,CVC000000600638,CVC000000751625,2214869,ORD010110974416,ORD010112656129,NNL000000060017,NNI000000491456,VLK00000486,91-110,300
Bayswater CSA,CSA300000000058,CVC000000602149,CVC000000752430,2214873,ORD010113699930,ORD010113701752,NNL000000061746,NNI000000493296,VLK00000578,71-90,300
"5EDW - EDWARDSTOWN, SA",CSA500000000296,CVC000000603173,CVC000000751639,2214874,ORD010110447303,ORD010112656186,NNL000000059735,NNI000000490995,VLK00000496,71-90,200
"3MEA - NUNAWADING, VIC",CSA300000001054,CVC000000601192,CVC000000751641,2214876,ORD010110447548,ORD010112656247,NNL000000059742,NNI000000491004,VLK00000497,71-90,300
"5EZB - ELIZABETH, SA",CSA500000010299,CVC000000600191,CVC000000751656,2214877,ORD010110974601,ORD010112656384,NNL000000060001,NNI000000491460,VLK00000493,91-110,300
